Suburb,Postcode,Lat,Lng,Domain_id,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,auctionNumberWithdrawn,daysOnMarket,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
Basalt,3460,-37.3405241,144.1610974,3137,,1.0,840000.0,840000.0,,1.0,785000.0,785000.0,,,,,,,,
Bass,3991,-38.4734903,145.4582381,3167,,1.0,545000.0,545000.0,,8.0,3300000.0,530000.0,,,,,,,,
Batesford,3213,-37.9873525,144.2811537,104247,,4.0,1770000.0,1300000.0,,5.0,2100000.0,1295000.0,1.0,,,,,,,
Baw Baw Village,3833,-37.7865626,146.0696009,52107,,,,,,1.0,345000.0,345000.0,,,,,,,,
Baxter,3911,-38.1972006,145.1762197,3267,,9.0,1890000.0,630000.0,690000.0,17.0,850000.0,185000.0,1.0,,,,,7.0,600.0,380.0
Bayles,3981,-38.1825837,145.5912693,3287,,3.0,1680000.0,535000.0,,3.0,1500000.0,420000.0,,,,,,,,
Bayswater,3153,-37.8386354,145.2756505,3337,841000.0,45.0,1303000.0,551000.0,870000.0,61.0,4500000.0,520000.0,30.0,20.0,,37.0,440.0,61.0,590.0,330.0
Bayswater North,3153,-37.8386354,145.2756505,3387,848000.0,26.0,1266000.0,517000.0,760000.0,38.0,980000.0,445000.0,10.0,8.0,,24.0,450.0,30.0,570.0,350.0
Beaconsfield,3807,-38.0347309,145.3862638,3417,873000.0,37.0,1802000.0,97000.0,828000.0,109.0,2500000.0,450000.0,2.0,1.0,,33.0,455.0,26.0,725.0,350.0
Beaconsfield Upper,3808,-37.999986,145.4360858,3457,,6.0,1500000.0,800000.0,1235000.0,11.0,1900000.0,740000.0,,,,,,2.0,630.0,440.0
Bealiba,3475,-36.6942531,143.5202874,3467,,1.0,180000.0,180000.0,,2.0,514000.0,165000.0,,,,,,,,
Bearii,3641,-35.9078595,145.4471613,3487,,1.0,350000.0,350000.0,,1.0,345000.0,345000.0,,,,,,,,
Beaufort,3373,-37.4528631,143.3474304,3537,415000.0,15.0,780000.0,270000.0,430000.0,15.0,720000.0,250000.0,,,,52.0,,5.0,450.0,280.0
Beaumaris,3193,-37.9809272,145.0328017,3547,2113000.0,67.0,12000000.0,671000.0,1850000.0,85.0,11500000.0,570000.0,53.0,38.0,,23.0,878.0,48.0,2500.0,475.0
Beeac,3251,-38.1418099,143.6718623,3567,,4.0,505000.0,315000.0,,3.0,510000.0,320000.0,,,,,,3.0,380.0,336.0
Beech Forest,3237,-38.6505708,143.4554195,3577,,1.0,250000.0,250000.0,,1.0,250000.0,250000.0,,,,,,,,
Beechworth,3747,-36.3851254,146.6962857,3587,661000.0,19.0,1300000.0,472000.0,678000.0,40.0,1500000.0,445000.0,,,,48.0,,9.0,625.0,298.0
Belgrave,3160,-37.932935,145.3475331,3617,806000.0,15.0,1440000.0,440000.0,750000.0,29.0,1370000.0,360000.0,1.0,1.0,,12.0,520.0,11.0,665.0,460.0
Belgrave Heights,3160,-37.932935,145.3475331,3627,,1.0,1050000.0,1050000.0,,7.0,1100000.0,790000.0,,,,,,3.0,630.0,530.0
Belgrave South,3160,-37.932935,145.3475331,3637,,5.0,1465000.0,1028000.0,1025000.0,12.0,3950000.0,780000.0,,,,,,1.0,530.0,530.0
Bell Park,3215,-38.1083132,144.3357845,3647,705000.0,19.0,1310000.0,530000.0,600000.0,26.0,869000.0,365000.0,4.0,3.0,,28.0,420.0,54.0,550.0,270.0
Bell Post Hill,3215,-38.1083132,144.3357845,3657,726000.0,23.0,1250000.0,450000.0,650000.0,34.0,3200000.0,430000.0,9.0,6.0,,42.0,420.0,29.0,800.0,300.0
Bellarine,3223,-38.1610488,144.6753231,3687,,1.0,4095000.0,4095000.0,,3.0,5200000.0,3000000.0,,,,,,,,
Bellbrae,3228,-38.3419249,144.2374759,3727,,3.0,4120000.0,1400000.0,,7.0,4000000.0,1250000.0,,,,,,,,
Bellbridge,3691,-36.2373927,146.9661233,3737,,3.0,675000.0,480000.0,,5.0,725000.0,510000.0,,,,,,,,
Bellellen,3381,-37.1716807,142.5745556,63637,,1.0,849000.0,849000.0,,,,,,,,,,,,
Bellfield,3081,-37.7417753,145.0438252,3787,,9.0,1261000.0,752000.0,890000.0,18.0,2300000.0,550000.0,7.0,7.0,,,469.0,15.0,860.0,320.0
Bells Beach,3228,-38.3419249,144.2374759,3817,,1.0,3100000.0,3100000.0,,1.0,2700000.0,2700000.0,,,,,,,,
Belmont,3216,-38.1747227,144.3139277,3827,739000.0,82.0,1950000.0,440000.0,700000.0,104.0,10000000.0,395000.0,48.0,35.0,,26.0,435.0,136.0,800.0,145.0
Bemm River,3889,-37.609984,148.8289611,3837,,,,,,2.0,940000.0,389000.0,,,,,,,,
Bena,3946,-38.4506894,145.7245012,3847,,1.0,900000.0,900000.0,,2.0,850000.0,380000.0,,,,,,,,
Benalla,3672,-36.6181709,145.9804173,3897,430000.0,84.0,1130000.0,227000.0,430000.0,147.0,1150000.0,150000.0,,,,47.0,420.0,51.0,750.0,26.0
Benambra,3900,-36.9009009,147.8708157,3927,,1.0,189000.0,189000.0,,2.0,189000.0,180000.0,,,,,,,,
Bend of Islands,3097,-37.6897828,145.2369693,3947,,2.0,1076000.0,932000.0,,1.0,1100000.0,1100000.0,,,,,,,,
Bendigo,3550,-36.7665875,144.2920769,3977,664000.0,46.0,2307000.0,370000.0,637000.0,88.0,2950000.0,345000.0,2.0,1.0,,80.0,450.0,86.0,800.0,180.0
Benloch,3435,-37.2423687,144.7192376,4087,,1.0,977000.0,977000.0,,1.0,870000.0,870000.0,,,,,,,,
Bentleigh,3204,-37.9193526,145.0438252,4117,1715000.0,51.0,2910000.0,720000.0,1550000.0,83.0,3000000.0,460000.0,51.0,34.0,,39.0,710.0,105.0,1490.0,350.0
Bentleigh East,3165,-37.9174873,145.0658766,4127,1523000.0,112.0,2618000.0,840000.0,1450000.0,152.0,2600000.0,300000.0,104.0,72.0,,29.0,625.0,181.0,1300.0,330.0
Beremboke,3342,-37.6114047,144.215646,4177,,1.0,710000.0,710000.0,,1.0,650000.0,650000.0,,,,,,,,
Berringa,3351,-37.6978029,143.0029169,4227,,,,,,1.0,770000.0,770000.0,,,,,,,,
Berriwillock,3531,-35.6512854,142.9170407,4247,,,,,,3.0,255000.0,63000.0,,,,,,,,
Berwick,3806,-38.0264207,145.3475331,4297,905000.0,240.0,6315000.0,480000.0,830000.0,645.0,7500000.0,92000.0,45.0,20.0,,29.0,450.0,272.0,1400.0,250.0
Bet Bet,3472,-36.8747643,143.6068646,4317,,1.0,615000.0,615000.0,,1.0,580000.0,580000.0,,,,,,,,
Betley,3472,-36.8747643,143.6068646,4357,,,,,,1.0,595000.0,595000.0,,,,,,,,
Beulah,3395,-35.9172982,142.4039296,4367,,3.0,270000.0,105000.0,,5.0,270000.0,119000.0,,,,,,,,
Beveridge,3753,-37.4822825,144.9832134,4387,695000.0,29.0,1600000.0,380000.0,583000.0,406.0,2000000.0,309000.0,19.0,17.0,,45.0,415.0,22.0,730.0,330.0
Big Hill,3231,-38.451657,144.0521131,4417,,,,,,1.0,3400000.0,3400000.0,,,,,,,,
Birchip,3483,-35.9221523,142.8312661,4527,,6.0,220000.0,105000.0,,2.0,135000.0,120000.0,,,,,,,,
Birdwoodton,3505,-34.189156,141.8100218,4547,,2.0,715000.0,390000.0,,4.0,620000.0,385000.0,,,,,,,,
Birregurra,3242,-38.3300725,143.8128803,4557,,6.0,1000000.0,380000.0,693000.0,11.0,1945000.0,380000.0,1.0,1.0,,,,2.0,500.0,370.0
Bittern,3918,-38.3329437,145.165179,4567,835000.0,13.0,1870000.0,806000.0,780000.0,21.0,1750000.0,630000.0,2.0,1.0,,16.0,,7.0,600.0,370.0
Black Hill,3350,-37.5691087,143.8563224,4587,,7.0,2200000.0,266000.0,665000.0,14.0,2100000.0,230000.0,,,,,380.0,24.0,750.0,300.0
Black Rock,3193,-37.9809272,145.0328017,4627,2610000.0,27.0,4060000.0,1030000.0,2525000.0,40.0,5000000.0,990000.0,24.0,13.0,,58.0,1025.0,32.0,3000.0,520.0
Blackburn,3130,-37.8258214,145.1541397,4637,1473000.0,54.0,2805000.0,679000.0,1300000.0,98.0,3300000.0,500000.0,53.0,32.0,,42.0,500.0,56.0,795.0,87.0
Blackburn North,3130,-37.8258214,145.1541397,4657,1300000.0,29.0,2482000.0,749000.0,1125000.0,38.0,2560000.0,800000.0,23.0,18.0,,23.0,495.0,44.0,795.0,70.0
Blackburn South,3130,-37.8258214,145.1541397,4667,1315000.0,28.0,2200000.0,900000.0,1100000.0,56.0,2250000.0,400000.0,28.0,19.0,,24.0,535.0,44.0,750.0,370.0
Blackwood,3458,-37.459275,144.3685809,4697,,3.0,900000.0,610000.0,,7.0,990000.0,540000.0,,,,,,,,
Blairgowrie,3942,-38.3645949,144.7686693,4717,1720000.0,45.0,7200000.0,1095000.0,1799000.0,70.0,7550000.0,975000.0,23.0,19.0,,32.0,,7.0,2300.0,650.0
Blind Bight,3980,-38.2092442,145.3917982,4777,,3.0,747000.0,660000.0,,6.0,715000.0,625000.0,,,,,,2.0,460.0,450.0
Boisdale,3860,-37.6951451,146.9661233,4907,,2.0,360000.0,295000.0,,2.0,338000.0,295000.0,,,,,,,,
Bolinda,3432,-37.439438,144.7741635,4927,,,,,,2.0,880000.0,880000.0,,,,,,,,
Bonbeach,3196,-38.048116,145.1210303,5007,1235000.0,28.0,2660000.0,620000.0,1030000.0,49.0,2800000.0,550000.0,15.0,9.0,,31.0,520.0,25.0,800.0,370.0
Bonegilla,3691,-36.2373927,146.9661233,5027,,1.0,1000000.0,1000000.0,,1.0,,,1.0,,,,,,,
Bonnie Doon,3720,-37.0207039,145.8690603,5067,,4.0,1015000.0,625000.0,765000.0,10.0,1000000.0,480000.0,,,,,,1.0,430.0,430.0
Boolarra,3870,-38.4631226,146.3600438,5117,,4.0,875000.0,230000.0,,6.0,875000.0,220000.0,,,,,,1.0,370.0,370.0
Boolarra South,3870,-38.4631226,146.3600438,5127,,,,,,1.0,995000.0,995000.0,,,,,,,,
Boole Poole,3880,-37.9215501,147.7573,5147,,,,,,1.0,580000.0,580000.0,,,,,,,,
Boort,3537,-36.0772722,143.6935405,5267,,3.0,365000.0,180000.0,,6.0,435000.0,185000.0,,,,,,,,
Boosey,3730,-36.0520717,145.8913207,5277,,1.0,940000.0,940000.0,,,,,,,,,,,,
Boronia,3155,-37.8610682,145.2867055,5327,844000.0,100.0,1450000.0,475000.0,730000.0,174.0,1570000.0,350000.0,47.0,33.0,,24.0,420.0,87.0,650.0,280.0
Borung,3518,-36.424265,143.6068646,5357,,1.0,191000.0,191000.0,,1.0,170000.0,170000.0,,,,,,,,
Botanic Ridge,3977,-38.1347885,145.2811778,71157,931000.0,32.0,1355000.0,560000.0,790000.0,137.0,1360000.0,426000.0,,,,18.0,515.0,16.0,750.0,390.0
Box Hill,3128,-37.8333543,145.1210303,5477,1281000.0,16.0,3000000.0,710000.0,1000000.0,56.0,3500000.0,330000.0,18.0,10.0,,,453.0,100.0,1000.0,165.0
Box Hill North,3129,-37.8052948,145.1210303,5547,1321000.0,43.0,2820000.0,129000.0,1200000.0,100.0,6000000.0,470000.0,42.0,26.0,,40.0,495.0,75.0,960.0,340.0
Box Hill South,3128,-37.8333543,145.1210303,5567,1455000.0,40.0,2864000.0,760000.0,1350000.0,84.0,4000000.0,250000.0,35.0,18.0,,53.0,538.0,62.0,1100.0,165.0
Braeside,3195,-38.0005492,145.1044805,5647,,,,,,1.0,,,,,,,,,,
Branxholme,3302,-37.8391588,141.8100218,5677,,1.0,349000.0,349000.0,,2.0,530000.0,349000.0,,,,,,,,
Braybrook,3019,-37.7903679,144.8566207,5697,699000.0,40.0,1220000.0,400000.0,698000.0,84.0,1100000.0,65000.0,13.0,4.0,,41.0,403.0,92.0,700.0,249.0
Breakwater,3219,-38.176358,144.3849841,5727,,8.0,655000.0,413000.0,560000.0,11.0,649000.0,369000.0,2.0,1.0,,,,6.0,450.0,280.0
Breamlea,3227,-38.2498059,144.4232713,5737,,,,,,1.0,1700000.0,1700000.0,,,,,,1.0,450.0,450.0
Briagolong,3860,-37.6951451,146.9661233,5787,,3.0,450000.0,290000.0,,8.0,695000.0,310000.0,,,,,,1.0,295.0,295.0
Briar Hill,3088,-37.698595,145.1099967,5807,1055000.0,13.0,2045000.0,790000.0,1000000.0,16.0,1700000.0,710000.0,7.0,6.0,,,480.0,13.0,750.0,340.0
Bridgewater,3516,-36.6251143,144.0194472,5857,,1.0,895000.0,895000.0,,2.0,875000.0,560000.0,,,,,,,,
Bridgewater on Loddon,3516,-36.6251143,144.0194472,5917,,2.0,790000.0,240000.0,,3.0,480000.0,320000.0,,,,,,1.0,300.0,300.0
Bright,3741,-36.882628,147.0562333,5937,1188000.0,11.0,3500000.0,745000.0,1350000.0,34.0,3450000.0,730000.0,,,,,,1.0,500.0,500.0
Brighton,3186,-37.9044002,144.9997396,5957,2900000.0,78.0,9500000.0,30000.0,3213000.0,176.0,16500000.0,400000.0,52.0,29.0,,58.0,950.0,123.0,4000.0,350.0
Brighton East,3187,-37.9179439,145.0190242,5997,2200000.0,60.0,4315000.0,660000.0,1970000.0,103.0,5650000.0,300000.0,52.0,29.0,,38.0,848.0,108.0,2050.0,345.0
Brim,3391,-36.0562538,142.4252353,6007,,1.0,177000.0,177000.0,,,,,,,,,,1.0,195.0,195.0
Broadford,3658,-37.2372916,145.093449,6097,616000.0,26.0,850000.0,305000.0,564000.0,63.0,920000.0,270000.0,1.0,,,31.0,380.0,16.0,500.0,300.0
Broadmeadows,3047,-37.6763574,144.9336544,6127,570000.0,35.0,715000.0,330000.0,530000.0,90.0,1100000.0,300000.0,24.0,9.0,,29.0,350.0,126.0,1597.0,200.0
Brookfield,3338,-37.7810237,144.5437205,6207,575000.0,65.0,1130000.0,401000.0,540000.0,103.0,1450000.0,240000.0,2.0,1.0,,18.0,360.0,81.0,522.0,300.0
Brooklyn,3012,-37.8146251,144.8456217,6227,823000.0,13.0,980000.0,650000.0,800000.0,23.0,1450000.0,600000.0,6.0,3.0,,102.0,430.0,35.0,650.0,320.0
Broomfield,3364,-37.3708363,143.9541563,6267,,,,,,1.0,840000.0,840000.0,,,,,,1.0,395.0,395.0
Bruarong,3749,-36.3378001,146.8536008,6317,,1.0,950000.0,950000.0,,1.0,900000.0,900000.0,,,,,,,,
Brunswick,3056,-37.7666099,144.9584302,6377,1300000.0,89.0,3330000.0,515000.0,1150000.0,149.0,5000000.0,280000.0,93.0,55.0,,35.0,600.0,259.0,,275.0
Brunswick East,3057,-37.769412,144.9804594,6427,1212000.0,47.0,2690000.0,604000.0,1050000.0,62.0,2400000.0,370000.0,40.0,30.0,,39.0,568.0,120.0,1500.0,163.0
Brunswick West,3055,-37.761,144.9419122,6447,1231000.0,56.0,3150000.0,212000.0,1050000.0,86.0,2600000.0,320000.0,44.0,30.0,,32.0,530.0,132.0,1200.0,270.0
Bruthen,3885,-37.2938907,148.2804541,6477,,5.0,675000.0,245000.0,409000.0,10.0,685000.0,245000.0,,,,,,,,
Buangor,3375,-37.390738,143.1749726,6487,,2.0,465000.0,465000.0,,1.0,450000.0,450000.0,,,,,,,,
Buchan,3885,-37.2938907,148.2804541,6497,,2.0,830000.0,228000.0,,4.0,600000.0,250000.0,,,,,,2.0,350.0,195.0
Buckland,3740,-36.8264122,146.8760951,6527,,1.0,2200000.0,2200000.0,,1.0,2500000.0,2500000.0,,,,,,,,
Budgeree,3870,-38.4631226,146.3600438,6577,,,,,,1.0,1400000.0,1400000.0,,,,,,,,
